,6.198954+-75.57458,6.229264+-75.570485,6.235712+-75.56956,6.253639+-75.564185,6.266524+-75.563666,6.206794+-75.57106,6.242804+-75.55743,6.261663+-75.565777,6.213903+-75.558228,6.252321+-75.567432,6.269552+-75.554713,6.265994+-75.562178,6.223611+-75.574438,6.248156+-75.55767,6.244864+-75.57721,6.269477+-75.565793,6.209042+-75.56778,6.271251+-75.55765,6.282256+-75.561384,6.26785+-75.568856,6.241586+-75.5765,6.286183+-75.56599,6.275893+-75.56978,6.265202+-75.57218,6.260895+-75.57370,6.254212+-75.57729,6.247960+-75.58028,6.239645+-75.57740,6.236897+-75.57647,6.231378+-75.57567,6.213594+-75.57807,6.204031+-75.57959,6.195293+-75.58154,6.221713+-75.59181,6.21883+-75.58655,6.214981+-75.59758,6.232039+-75.604523,6.241308+-75.58755,6.207895+-75.5909,6.262951+-75.604237,6.25696+-75.59199,6.273829+-75.592982,6.286315+-75.574404,6.276734+-75.58055,6.255575+-75.601588,6.275722+-75.59619,6.293733+-75.57159,6.245128+-75.596843,6.27907+-75.571295,6.234699+-75.58744,6.230405+-75.609889,6.24448+-75.589435
6.195293+-75.58154,3210,5594,6571,8923,11531,3193,8981,10072,5530,7705,12057,10162,4673,8989,6571,10972,3927,11613,12051,9481,6166,11727,10436,9265,8749,7852,6820,6631,8016,5151,3359,3153,0,3980,3430,3816,5636,6371,3472,11436,9874,12588,12322,11328,8877,11482,13138,7199,10991,6771,6355,8371
6.221713+-75.59181,6872,4089,4867,6758,8621,6221,6553,7162,6104,5973,9147,7252,3929,6561,4632,8062,6430,8703,9142,6572,4267,8818,7527,6355,5840,4947,3484,3394,5085,3234,4916,7085,4808,0,3405,1519,3004,2379,2198,5730,4483,9679,9412,8418,4850,7408,10228,3207,8081,1877,3724,2914
6.21883+-75.58655,3729,3627,4405,6470,7021,2893,6330,6323,4304,5253,9695,7075,3309,6338,4745,8610,3101,8895,9333,7120,3805,9009,7718,6546,6031,5138,3675,3124,5198,2771,1907,3756,3786,3343,0,3178,4998,3603,2835,7554,5628,9870,9603,8609,6465,7600,10847,4821,8272,2586,5718,4064
6.214981+-75.59758,4232,6051,6878,8769,10632,4894,8563,9124,8066,7984,11109,9214,5891,8571,6594,10024,5541,10665,11104,8534,6229,10780,9489,8317,7802,6909,5446,5356,8277,5196,4347,5017,3781,1950,3484,0,3629,4341,1172,8342,6445,9350,11374,10380,6812,9640,12261,5169,10043,3839,4349,4876
6.232039+-75.604523,8051,5268,6046,7156,9019,7400,6951,7560,7282,6371,9545,7650,5107,6959,5030,8460,7608,9101,9540,6970,5445,9215,7924,6753,6238,5345,3882,4070,5483,4412,7852,7497,6261,3200,4584,2506,0,2777,3652,5502,5457,6510,9810,7693,4030,6800,10697,2593,8479,3460,724,3312
6.241308+-75.58755,8246,4202,3710,4399,6262,7378,4193,4802,6968,3614,6787,4893,5714,4201,2272,5702,6945,6344,6782,4212,2780,6458,5167,3995,3480,2587,1124,1632,2726,4098,5751,7600,7630,3272,2946,4242,3208,0,4922,5003,3077,7319,7052,6058,3576,5049,7940,1933,5722,1022,3927,788
6.207895+-75.5909,3075,5773,6551,8393,8944,3738,8253,8245,5586,7175,11648,8997,5152,8260,6667,8832,4384,11204,11643,9961,6646,11319,10028,8856,8341,7304,5718,5167,7121,5631,3190,3860,2625,2222,2328,2057,3877,4613,0,8589,6716,9598,11913,10919,7118,10934,13688,5440,10582,4110,4597,5148
6.262951+-75.604237,11144,7159,6269,6178,7808,10181,7151,6031,10413,5285,8333,6432,8170,7159,5198,7249,10390,7890,8328,5758,5678,8004,6713,5535,5019,3551,3974,5519,5624,6607,9196,11045,10711,6107,8508,6472,4666,4161,7617,0,2400,3453,6118,4637,1179,3743,6859,2838,7268,4566,4224,4051
6.25696+-75.59199,9610,6404,5699,5508,7138,8956,6396,5360,9216,4615,7663,5762,7013,6404,4870,6578,9165,7220,7658,5088,5008,7334,6043,4865,4349,2881,3327,4294,4954,6318,7970,9820,9849,5461,7838,6002,4196,3515,7148,1889,0,3543,6613,4727,1511,3834,6950,2191,6598,3920,4950,2682
6.273829+-75.592982,11193,7285,6355,5294,5812,10539,7276,5776,10771,6409,7841,5671,8596,6745,5324,6756,10748,7397,7637,5204,5804,7299,5730,4288,3735,3677,5072,5645,5750,6733,9321,11171,11179,7764,8634,7087,5281,5268,8233,2230,2526,0,6341,3110,2581,540,5333,4596,5816,6521,6035,4177
6.286315+-75.574404,11264,7733,7241,4671,3298,10477,6739,4364,10709,5786,3823,4258,8534,6122,5526,2738,10686,3380,2059,4679,6006,1721,1712,2876,3112,4343,6372,6944,5952,8855,10507,12358,12386,8517,8623,9487,8453,6229,12096,5885,5280,3655,0,2054,6236,4023,1186,8069,1799,7958,9173,6018
6.276734+-75.58055,10408,6877,6385,3815,3405,9621,5883,3526,9881,4930,3930,3421,7678,5283,4670,2845,9830,3486,3726,2954,5150,3388,1819,2038,2256,3487,4500,5072,5096,6983,8636,10485,10514,7661,7767,8631,7597,5373,11240,4572,4342,2342,1957,0,4923,2585,2920,7213,1906,7102,8377,4960
6.255575+-75.601588,10506,6462,5808,6423,8053,9499,6454,6275,9564,5530,8578,6676,7389,6462,4533,7493,9708,8135,8573,6003,5040,8249,6958,5779,5264,3796,3385,5140,4986,6559,8514,10363,8852,5773,6454,5096,3290,3249,6242,1370,2391,3698,6363,4881,0,3988,7104,1926,7513,4530,4044,2884
6.275722+-75.59619,11620,7712,6782,5721,5784,10966,7704,5004,11198,6836,6309,4898,9023,7172,5751,5225,11175,5866,6106,4431,6231,5767,4199,3516,3733,4104,5499,6072,6177,7160,9748,11830,11606,8191,9061,7514,5708,5695,8660,2657,2953,1717,4052,2571,3008,0,4793,5023,4285,6948,6462,4604
6.293733+-75.57159,12382,8639,8148,6151,4210,11728,9676,5600,11960,7266,4735,5494,9785,7602,7755,3651,11936,4292,2294,5027,7486,1956,2624,4112,4592,6694,6606,7179,8208,9090,10742,12593,12621,9767,9874,10738,9703,7480,13347,7755,6192,5040,1059,3009,7947,5408,0,9320,2711,9209,10423,7268
6.245128+-75.596843,9756,5712,5221,5909,7772,7297,5704,6312,7528,5124,8297,6403,5440,5712,3783,7213,7505,7854,8292,5722,4290,7968,6677,5506,4990,4097,2634,2528,4236,3948,6311,8160,8190,3460,3842,4220,2414,1513,5110,4298,2063,5306,6787,5793,1871,5596,10070,0,7232,1918,3168,993
6.27907+-75.571295,10719,8022,7368,4488,3218,10065,8013,3937,10297,5603,3744,3832,8123,5939,6092,2659,10274,3300,3964,3365,5823,3565,1633,2449,2929,4186,4944,5506,6545,7427,9080,10929,10948,8105,8199,9075,8041,5817,11684,6922,5359,4285,3235,2921,7114,4528,4122,7645,0,7546,9846,5606
6.234699+-75.58744,5733,5598,4388,5795,7658,4897,5590,6199,5624,5010,8184,6289,3450,5598,3669,7099,5106,7740,8178,5608,4176,7854,6563,5392,4876,3984,2521,1578,4122,2754,3912,5761,5790,2109,1924,3080,2323,1196,3759,4547,3299,8715,8449,7455,3667,6288,9336,2023,7118,0,3043,1731
6.230405+-75.609889,8357,5574,6352,7663,9526,7706,7458,8067,7588,6878,10052,8157,5414,7466,5537,8967,7914,9608,10047,7477,6044,9722,8431,7260,6745,5852,4389,4577,5990,4718,6400,7803,6568,3284,4434,2812,1156,3284,3958,6009,5964,7017,10317,8200,4537,7307,11204,3100,8986,3967,0,3819
6.24448+-75.589435,8396,4352,3860,4548,6412,7549,4343,4952,7443,3763,6937,5042,5864,4351,2422,5852,7095,6494,6932,4362,2929,6608,5317,4145,3630,2737,1274,2480,2875,3899,5901,7750,7779,3379,3794,4349,3315,1091,5029,5153,2767,7469,7202,6208,3683,5199,8089,2040,5872,1870,4035,0
